District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
444,madhya pradesh,bhopal,2371061,1236130,1134931,920314,740376,1660690,1405814,625594,330291,9362,50.7,14.3,12.9,11.5,6.8,22.4,18.5,5.1,24.9,8.5,32.9,,75
445,madhya pradesh,sehore,1311332,683743,627589,469208,311154,780362,817608,305605,187611,508,33.2,8.2,10,14.1,8,26,17.9,7,26.6,9.7,47.1,28373,198
446,madhya pradesh,raisen,1331597,700358,631239,479093,341127,820220,832939,316319,181524,815,41,7.9,11.3,12,4.1,19,15,4.1,21.2,9.7,52.1,25661.85714,200
447,madhya pradesh,betul,1575362,799236,776126,529783,409986,939769,938819,392728,242592,1223,51.3,13.6,14.7,11.5,3.9,17.8,15.6,4.7,21.6,11.9,45.7,35163.57143,349
448,madhya pradesh,harda,570465,294838,275627,203807,148743,352550,347774,138882,83417,392,33.3,8.3,10.2,13.8,5.2,21.7,13.6,5.4,20.9,8.6,49,,88
449,madhya pradesh,hoshangabad,1241350,648725,592625,469199,341445,810644,730768,318232,191501,849,28.6,7.1,12.4,14,7,24,18.9,8.5,29.9,21.4,50.4,34605.71429,187
450,madhya pradesh,katni,1292042,662013,630029,460583,330190,790773,778414,326582,185857,1189,18.1,9.3,16,13.1,4.1,18.5,16.5,3.2,20.8,11.7,57.4,,197
451,madhya pradesh,jabalpur,2463289,1277278,1186011,980307,776161,1756468,1387369,679185,391903,4832,61.2,11.3,19.1,15.8,3.5,22.7,12.2,5.5,20.1,18.2,56.6,94229.14286,190
452,madhya pradesh,narsimhapur,1091854,568810,523044,413491,305294,718785,620415,289560,180831,1048,49.4,9.9,13.5,12.6,6.9,23.2,16.9,5.6,24.4,27.2,55.2,23214,168
453,madhya pradesh,dindori,704524,351913,352611,222759,155955,378714,419531,181841,102522,630,47.2,8.8,10.6,16.2,7.9,25.2,21,6.3,27.7,22.8,60.6,224656,218
454,madhya pradesh,mandla,1054905,525272,529633,348033,256929,604962,614794,278553,160510,1048,42.6,11.9,14.6,18.2,4.4,24.9,21.8,7.2,30.4,29.5,57.5,18232.57143,338
455,madhya pradesh,chhindwara,2090922,1064468,1026454,731294,562904,1294198,1232263,535316,321977,1366,48.5,11.1,14.1,10.9,6.2,21.7,14.4,6,22.6,21.1,49,44215.57143,411
456,madhya pradesh,seoni,1379131,695879,683252,485341,378853,864194,809922,363037,205237,935,44.6,11.1,17.2,11.7,6.1,21.1,16.9,6.8,25.7,30.6,57.2,,259
457,madhya pradesh,balaghat,1701698,842178,859520,626468,521155,1147623,969773,453605,276799,1521,68.4,9.7,12,15.4,4.6,22.3,17.7,3.2,21.9,20.2,49.9,31817.14286,290
458,madhya pradesh,guna,1241519,649362,592157,400537,253443,653980,793150,285176,162104,1089,43.1,8.4,9.6,11.8,3.8,17,12.8,4.2,18.2,6,42.1,23389.71429,193
459,madhya pradesh,ashoknagar,845071,443837,401234,290304,178805,469109,535410,194772,114131,758,34.2,11.4,14.1,11.2,3.9,16.3,13.4,5.4,19.8,8.4,46.8,,134
460,madhya pradesh,shahdol,1066063,540021,526042,348761,255433,604194,645619,269145,150655,644,58.4,11.5,16.6,11.9,6.4,19.8,15.5,6.4,23.2,8.6,46.4,16984.71429,288
461,madhya pradesh,anuppur,749237,379114,370123,254120,182475,436595,444954,193520,109813,950,52.8,10.8,14,14,8.5,24.3,18.8,6.5,26.4,16.7,53.8,,180
462,madhya pradesh,sidhi,1127033,575912,551121,353030,247755,600785,721531,253685,150959,858,26.1,8.5,14,12.7,3.5,17.5,19.9,5.2,26,7.4,54.5,16593.42857,215
463,madhya pradesh,singrauli,1178273,613637,564636,359923,225131,585054,771725,267189,138276,1083,58.5,10.6,13.7,13.6,5.1,18.9,18.5,7,25.9,5.8,46,,225
464,madhya pradesh,jhabua,1025048,515023,510025,214582,137499,352081,684200,220769,119681,398,43.7,9.3,11.2,16.9,5.5,23.5,18.2,5,23.7,4.2,35.2,10496.42857,269
465,madhya pradesh,alirajpur,728999,362542,366457,120905,88849,209754,488848,155328,84149,674,42.5,7.3,8,16.7,4.4,22,21.7,5.6,27.7,10.6,46.3,,185
466,madhya pradesh,khandwa (east nimar),1310061,674329,635732,432259,299356,731615,809091,313456,186928,586,38.1,9,9.5,13.9,4.8,21.3,12.6,3.8,17.6,6.9,44.9,24529.14286,216
467,madhya pradesh,burhanpur,757847,388504,369343,233073,175606,408679,469838,181605,106034,370,42.2,7.1,9.1,8.7,3.1,13.9,10.7,3.5,15.9,9.5,35.4,94544.85714,121
468,gujarat,kachchh,2092371,1096737,995634,739239,513080,1252319,1278604,524052,286086,3629,34.3,12.9,13.4,10.8,4.4,19.1,10.7,3.8,18.2,8.9,38.7,,369
469,gujarat,banas kantha,3120506,1610379,1510127,1048402,656521,1704923,1984701,738412,394793,2600,41,12.9,15.8,7.9,2.9,14.3,9.2,4.4,15.7,7.5,37.3,101962.4286,810
470,gujarat,patan,1343734,694397,649337,494631,343282,837913,786357,341381,213465,2531,50.2,18.1,18.8,8.3,3.7,16.3,9.5,3.5,16.3,6.9,38.9,167656.7143,321
