District code,State name,District name,Population,Male,Female,Male_Literate,Female_Literate,Literate,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Households with any usual member covered under a health insurance/financing sche,Female Blood sugar level  high or very high (>140 mg/dl) or taking medicine to c,Male Blood sugar level  high or very high (>140 mg/dl) or taking medicine to con,Female Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastoli,Female Moderately or severely elevated blood pressure (%),Female Elevated blood pressure or taking medicine to control blood pressure (%),Male Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic ,Male Moderately or severely elevated blood pressure (%),Male Elevated blood pressure or taking medicine to control blood pressure (%),Women age 15 years and above who use any kind of tobacco (%),Men age 15 years and above who use any kind of tobacco (%),Average GDP,total facilities
1,jammu and kashmir,kupwara,870354,474190,396164,282823,156831,439654,600759,178435,89679,1481,10.4,6.5,7.9,10.5,2.1,18.1,11.5,2.7,18.9,6.8,49.8,,
2,jammu and kashmir,badgam,753745,398041,355704,207741,127908,335649,503223,160933,88978,611,5.2,7.3,6.9,10.9,4.5,19.9,11,3.7,18.6,5.4,42.9,,
3,jammu and kashmir,leh(ladakh),133487,78971,54516,62834,30936,93770,70703,41515,21019,250,16.2,6.1,6.4,8.7,0.7,12.8,9.2,0.8,14.7,4.4,39.5,,
4,jammu and kashmir,kargil,140802,77785,63017,56301,29935,86236,87532,35561,17488,221,13.6,7.3,10.2,12,2.7,18.7,13.2,3.8,20.1,1.9,31.9,113172.8571,100
5,jammu and kashmir,punch,476835,251899,224936,163333,98391,261724,304979,109818,61334,704,11.1,7.8,7,11.4,1.9,17.9,11.7,1.6,16.3,2.3,38.8,,
6,jammu and kashmir,rajouri,642415,345351,297064,224469,139640,364109,404903,153165,83319,1028,16.4,8,8.4,11.3,2.7,16.5,9.6,2.4,13.8,3.2,44.8,,
7,jammu and kashmir,kathua,616435,326109,290326,228499,160705,389204,357864,160123,97684,764,7,12.4,11.8,15.3,1.9,18.9,19.4,2.2,23.6,2.1,33.3,71263.71429,165
8,jammu and kashmir,baramula,1008039,534733,473306,337170,207979,545149,636524,239659,130513,1343,6.5,10,8.3,13.6,3.9,23.7,11.7,3.2,19,6.5,34.7,,
9,jammu and kashmir,bandipore,392232,207680,184552,117058,68921,185979,252378,90465,48802,587,9.1,8.7,8,8.8,5,21.4,8.7,3.3,17.4,9.1,40.1,1067304.571,157
10,jammu and kashmir,srinagar,1236829,651124,585705,431746,316838,748584,693238,351561,190330,1700,17.9,7.4,5.7,9.9,1.6,20.1,10.4,1.6,18.1,1.9,36.5,,
11,jammu and kashmir,ganderbal,297446,158720,138726,90581,52695,143276,194165,66945,35911,425,8.3,9.7,7.8,10.7,3.2,21.5,10.9,3,19.1,6.3,36.3,,325
12,jammu and kashmir,pulwama,560440,293064,267376,178326,115632,293958,342601,137032,80111,696,9.9,7.2,4.8,14.2,4,22.6,14.1,2.3,19.1,3.3,41.2,,
13,jammu and kashmir,shupiyan,266215,136480,129735,80355,56145,136500,170086,60752,35158,219,8.4,5.4,5.1,11.5,1.4,15.1,11.5,1.1,14.2,5,47,,
14,jammu and kashmir,anantnag,1078692,559767,518925,324417,221115,545532,704145,239988,133519,1040,7.3,10.4,9.9,11.5,3.8,20,11.5,3.7,19.4,2.9,47,,
15,jammu and kashmir,kulgam,424483,217620,206863,125052,84033,209085,266858,99870,57253,502,4.2,6.4,6.1,19.4,3.1,25.8,15.9,2.2,19.9,3.3,37.7,138133.7143,288
16,jammu and kashmir,doda,409936,213641,196295,138620,80463,219083,263576,93189,52744,427,7.6,9.9,9.9,12.6,3.9,23.1,14.6,3.3,21.5,3.2,37.1,,
17,jammu and kashmir,ramban,283713,149132,134581,82938,41127,124065,188526,61604,33220,363,9.2,7.5,5.5,11.5,2,17.5,11.1,1.7,15.7,2.8,36.4,,4
18,jammu and kashmir,kishtwar,230696,120165,110531,68700,38806,107506,145931,53415,31084,266,16.4,5.3,6.8,4.3,2.2,13.2,5.3,1.7,13.3,3.5,41.3,,
19,jammu and kashmir,udhampur,554985,296784,258201,197543,124811,322354,339145,140785,74757,298,16.8,9.9,8.8,12.9,3.4,20.1,13,2.7,18.3,4.7,45.2,105925.4286,644
20,jammu and kashmir,reasi,314667,166461,148206,93937,56605,150542,203967,70767,39743,190,11.2,7.1,7.1,11,1.2,15.4,13.3,1.1,17.6,4,41.7,,
21,jammu and kashmir,jammu,1529958,813821,716137,641916,495219,1137135,816827,435895,275585,1651,23.3,9.9,8.6,10.4,3.6,20.5,13.3,3.9,22.6,0.8,25.7,,
22,jammu and kashmir,samba,318898,169124,149774,130312,97827,228139,177277,88246,53022,353,19,10.3,11.2,11.6,4,21.1,12.4,5.1,21.5,3,38.9,,
23,himachal pradesh,chamba,519080,261320,257760,186064,137778,323842,306555,130606,81566,353,26.8,10.6,11.5,11.9,3.5,17.8,19.3,2.8,23.2,2.5,40.3,20919.85714,119
24,himachal pradesh,kangra,1510075,750591,759484,606443,546197,1152640,766581,419172,319420,4902,36.4,16.4,15.7,13.4,6.8,24.9,17.5,5.1,26.6,1.2,32.9,76951.14286,416
25,himachal pradesh,lahul and spiti,31564,16588,14976,12897,8948,21845,15928,9181,6200,255,31.2,6.7,8.5,8.7,3.6,15,11.6,5.6,19.2,1.7,33.5,3157.285714,
26,himachal pradesh,kullu,437903,225452,212451,174550,133122,307672,244727,120510,72282,384,26.8,9.4,9.1,10.3,2.9,17.4,15.1,3.6,20.6,1.4,33.6,24493.42857,
27,himachal pradesh,mandi,999777,498065,501712,393669,330078,723747,524285,279321,194661,1510,41.3,13.2,15.3,10.8,4.2,20.8,15.7,4.7,23.8,1.4,31.7,41707.57143,
28,himachal pradesh,hamirpur,454768,217070,237698,180555,177536,358091,224044,123941,106641,142,32,19.2,21.2,13.7,6.8,28.1,22.6,7.1,35.2,0.7,33,17886.28571,231
29,himachal pradesh,una,521173,263692,257481,213281,186434,399715,273223,142351,105358,241,22.6,20.1,20.4,11.7,6.4,27.1,18.4,5.2,27.2,0.8,31,23389.71429,193
30,himachal pradesh,bilaspur,381956,192764,189192,155599,132021,287620,193671,107367,80497,421,60.4,10,12.7,14.5,7.3,24.4,19.2,8.1,28.6,11.5,40,78632.14286,438
31,himachal pradesh,solan,580320,308754,271566,244372,184206,428578,321533,167168,90808,811,41.9,10.8,13.4,12.5,5.4,21.7,14,6.5,22.3,2.9,29,57637.57143,
32,himachal pradesh,sirmaur,529855,276289,253566,205617,157028,362645,310244,136839,82471,301,26.2,10.1,9.9,10.9,4.5,19.1,14.5,4.2,20.8,4.1,27.3,,
33,himachal pradesh,shimla,814010,425039,388971,342846,269796,612642,425721,241956,145577,756,37.1,10.4,14.1,10.7,4,19.9,16.3,4.8,23.5,1.5,31.7,48123.42857,378
34,himachal pradesh,kinnaur,84121,46249,37872,36697,24002,60699,42360,26599,15075,87,35.9,7.9,7.3,11.3,3.8,18.5,15.1,5.6,22.8,2,44.1,7393.857143,371
35,punjab,gurdaspur,2298323,1212617,1085706,907660,727059,1634719,1261421,611353,423301,2248,23.5,15.1,13.8,22,11.2,36.8,25.7,11.2,39.2,0.4,7.9,94544.85714,205
36,punjab,kapurthala,815168,426311,388857,316254,260313,576567,433331,222324,157833,1680,20.7,15.8,15.9,19.5,8.6,32.3,24.9,8.8,36.2,0.2,11.6,43890.42857,94
37,punjab,jalandhar,2193590,1145211,1048379,882581,739956,1622537,1159156,616431,416449,1554,25.9,17.8,14.8,20.3,8.5,32.5,27.2,8.3,37.5,0.7,11.3,119130.5714,123
38,punjab,hoshiarpur,1586625,809057,777568,637927,561772,1199699,831741,422782,330671,1431,27.7,12.9,13.8,22.4,11.1,35.9,29,13.1,43,0.2,10.1,64693.28571,223
39,punjab,shahid bhagat singh nagar,612310,313291,299019,239155,199304,438459,318597,163305,128310,2098,23.3,15.1,15.8,21,9.3,32.7,29.8,11.9,42.8,0.2,10.9,,320
40,punjab,fatehgarh sahib,600163,320795,279368,238696,187337,426033,321018,166781,111028,1336,35.1,17.2,16.1,18.1,8.7,31.8,22.1,10.1,35.1,0.2,12.3,,87
41,punjab,ludhiana,3498739,1867816,1630923,1428348,1131877,2560225,1901528,980046,614258,2907,25.2,15.3,15.5,15.1,6.9,26.3,21.3,8,32.2,0.5,13.5,286082.4286,175
42,punjab,moga,995746,525920,469826,348549,279340,627889,535408,258826,194768,6744,23.7,14.9,12.8,18.3,9.6,31.2,23.1,10.3,35.3,0.3,16.9,,107
43,punjab,firozpur,2029074,1071637,957437,707070,520441,1227511,1171770,525459,331259,586,21,13.2,12.7,18.7,8,29.7,20.6,10.6,33.9,0.1,12.6,93575.28571,172
44,punjab,muktsar,901896,475622,426274,300401,224447,524848,495167,242628,162297,1804,23.9,13.5,12.6,15.1,6,24.4,20.9,9.6,32,0.4,20.8,,92
45,punjab,faridkot,617508,326671,290837,215767,165518,381285,336540,164962,113721,2285,20.4,15.1,16.5,13.2,7.6,26.1,21.7,10.9,35.4,0.1,18.6,,65
46,punjab,bathinda,1388525,743197,645328,488261,356607,844868,754927,377707,255283,608,20.1,14,14.5,16,9.5,32.2,26.5,15.6,45.1,1,20.3,80762.42857,121
47,punjab,mansa,769751,408732,361019,244037,179523,423560,420050,200882,146103,2716,18.4,11.6,10.9,17.1,9.6,30.2,25.9,14.8,42.2,0.4,16.9,,93
48,punjab,patiala,1895686,1002522,893164,711052,555739,1266791,1042519,517079,335100,988,33.8,18.5,14.8,16.7,6.6,28.7,21,9.4,34.3,0.3,11.2,120025.1429,167
49,punjab,amritsar,2490656,1318408,1172248,932981,751789,1684770,1384987,667193,436496,1980,26.2,13.5,13,23.7,9.4,35.9,26.6,14.9,43,0.2,8.2,97071.71429,129
50,punjab,tarn taran,1119627,589369,530258,376427,289735,666162,641875,283645,190898,3209,25,12.2,10.3,18.8,9.3,31.1,22.9,10.7,36.1,0.1,6.8,,108
51,punjab,rupnagar,684627,357485,327142,278534,224197,502731,365300,185424,131707,2196,37.8,19.5,20.7,14,7,27.2,19,8.3,31.9,0.5,11.5,,78
52,punjab,sahibzada ajit singh nagar,994628,529253,465375,409944,326631,736575,540872,281462,171656,638,31,17.1,18.1,14.3,6.8,27.7,21.6,8.3,34,0.5,12.3,,320
53,punjab,sangrur,1655169,878029,777140,570413,431664,1002077,904316,435148,311621,4084,18.7,11.2,12.6,19.1,9.5,32.9,26.2,13.4,41.8,0.6,12.7,68453,190
54,punjab,barnala,595527,317522,278005,201999,157832,359831,322607,158413,114077,430,20.7,14.5,13.8,19.1,9.5,32.8,25.4,12.4,40,0.3,14,113172.8571,71
55,chandigarh,chandigarh,1055450,580663,474787,465346,340092,805438,602411,303748,148945,346,32.2,19,16.6,14.5,5.6,25,18.7,8.7,30.6,0.6,12.1,,
56,uttarakhand,uttarkashi,330086,168597,161489,128237,86889,215126,202426,75997,51245,418,80.3,8.2,10.9,12.5,5,19,16.5,6.3,24.4,2.5,35.1,13715.57143,37
57,uttarakhand,chamoli,391605,193991,197614,155395,125161,280556,229715,93182,67873,835,71.1,6.8,9.8,15.1,3.7,19.7,19.4,8.2,28.5,2.2,38.4,22653.28571,58
58,uttarakhand,rudraprayag,242285,114589,127696,91803,79130,170933,141848,54979,44986,472,76.6,10.4,16.3,12.7,4.4,18.7,20.6,9.2,31.7,2,41,,6
59,uttarakhand,tehri garhwal,618931,297986,320945,227406,180588,407994,368324,139371,109998,1238,71.2,8.9,11.9,13,5.5,20,22,10.4,34,3.8,41.1,22902.42857,266
60,uttarakhand,dehradun,1696694,892199,804495,702216,557290,1259506,968517,446046,276280,5851,67.3,13.8,17.8,12.7,6,23.7,17.9,10.2,31.9,2.4,25.6,,102
61,uttarakhand,garhwal,687271,326829,360442,262148,232741,494889,380765,160183,145445,878,55.3,12.3,15.7,11.1,5.3,18.3,13.5,7.9,23.4,4.8,46.7,26253.57143,118
62,uttarakhand,pithoragarh,483439,239306,244133,189623,155927,345550,273494,116749,92517,679,72.8,6.5,10.6,14.8,6.7,23.3,21.6,10.3,32.9,4.3,38.5,19465,108
63,uttarakhand,bageshwar,259898,124326,135572,97546,81937,179483,147488,60569,51672,169,71.9,7.9,12,13.1,5.7,20.2,20.8,11.9,34.9,7.7,43.7,,88
64,uttarakhand,almora,622506,291081,331425,231604,204893,436497,351595,141238,128994,679,66,9.5,14,13.6,8.2,24.6,19.6,12.2,33.2,5.5,44.3,20512,151
65,uttarakhand,champawat,259648,131125,128523,102015,75711,177726,156916,60722,41913,97,65.7,7.9,11.3,12.9,5,19.9,20.7,7.9,29.7,4.9,38.7,,69
66,uttarakhand,nainital,954605,493666,460939,385779,310721,696500,562548,243095,147053,1909,60.8,11.5,14.6,14.3,5.9,24,19.8,7.8,30.4,5.2,34.8,50375.57143,118
67,uttarakhand,udham singh nagar,1648902,858783,790119,598525,439314,1037839,1042614,392370,212223,1695,59,14.2,18,12.6,7.2,22.2,19.2,8.7,30.2,5.3,31.7,,140
68,uttarakhand,hardwar,1890422,1005295,885127,691411,486943,1178354,1207120,435385,246229,1688,46.6,9.9,12.3,15,6.9,26.2,22.5,9.5,33.9,5.7,31.8,,16
69,haryana,panchkula,561293,299679,261614,229862,175456,405318,309078,157076,93606,1533,19.9,17.4,18.1,14.6,6.3,24.3,18,7,26.2,0.9,19.5,,18
70,haryana,ambala,1128350,598703,529647,461288,356737,818025,617859,308126,201685,680,19,11.7,13,15.3,9.4,28.8,19.7,9.1,31.2,0.8,22,76807.71429,98
71,haryana,yamunanagar,1214205,646718,567487,474793,357664,832457,694813,317708,201386,298,20.6,14.6,14.9,15.6,7.2,28.7,17.3,8.7,28.8,1.7,25.3,,161
72,haryana,kurukshetra,964655,510976,453679,370828,276065,646893,552034,250830,160216,1575,19.2,12.5,12.1,17.9,7.8,30.4,22.9,9.7,34.4,1.3,24.3,,122
73,haryana,kaithal,1074304,571003,503301,385782,260747,646529,630194,265813,176320,1977,29.1,15.8,16.9,9.5,4.3,16.9,13.2,5.2,20.4,1.7,22.6,,83
74,haryana,karnal,1505324,797712,707612,564516,413497,978013,884972,380409,234684,5259,24.6,9.4,9,10.7,3.8,17.6,15.2,4.6,21.2,2.6,26.6,113172.8571,100
75,haryana,panipat,1205437,646857,558580,464136,322463,786599,739075,298764,167244,354,26.5,12,14,11.3,4.1,21.6,15,8.4,25.6,4.6,27.3,,56
76,haryana,sonipat,1450001,781299,668702,589881,408435,998316,855201,360216,233318,1266,22.4,13.4,12.1,12.6,4.5,20,15.1,5.8,21.9,2.9,30.7,,104
77,haryana,jind,1334152,713006,621146,502049,330709,832758,784085,335704,213478,885,23.7,12.1,15.4,9.4,4.5,16.5,13.9,6,21.9,2.5,35.3,61013,117
78,haryana,fatehabad,942011,495360,446651,327471,230107,557578,555745,237009,147469,1788,29.4,16.1,17,9.7,5,17.5,12.2,6.5,20.1,0.8,23.5,39592.57143,49
79,haryana,sirsa,1295189,682582,612607,456968,325929,782897,750228,334344,208185,2432,26.6,15.4,23.6,10.4,5.1,19.9,15.9,8.5,26.8,1.1,21.7,,132
80,haryana,hisar,1743931,931562,812369,670200,444111,1114311,1017830,456536,265109,4456,27.9,12.6,16.7,9.5,6.6,19.4,17.3,9,28.6,1.8,34.5,127220,236
81,haryana,bhiwani,1634445,866672,767773,643158,426713,1069871,964960,405760,261428,2297,28.2,10.2,11.3,12.3,3.9,18.7,16.3,7.3,24.8,1.8,34.6,,172
82,haryana,rohtak,1061204,568479,492725,436025,311557,747582,605741,269354,185685,424,24.8,14.3,14.8,10.6,5.6,20.7,15.8,6.5,24.5,2.8,30.5,61341.14286,12
83,haryana,jhajjar,958405,514667,443738,399480,276611,676091,549975,245095,162356,979,27,10.2,11.8,11.1,7.7,21,17.6,7.7,26.8,2.6,34.1,,163
84,haryana,mahendragarh,922088,486665,435423,380440,249815,630255,530000,229392,161258,1438,25.6,10.3,12.3,13.7,5,21.6,15.8,8.1,25.8,2.3,32.9,,159
85,haryana,rewari,900332,474335,425997,375453,261494,636947,518747,230704,150557,324,25.3,8.2,10.9,15.7,6.8,24.1,16.9,9,26.5,4.4,33.5,38074.28571,92
86,haryana,gurgaon,1514432,816690,697742,638666,472450,1111116,875531,428101,210307,493,34.6,13.5,15.4,10.7,4,16.5,17.2,4.5,22.4,2.9,32.6,192956,70
87,haryana,mewat,1089263,571162,518101,308435,146462,454897,790930,186916,110688,729,11.5,6,7.9,10.6,2.9,15.5,14.6,3.7,19.2,4.7,36.5,,115
88,haryana,faridabad,1809733,966110,843623,734940,537799,1272739,1095602,481318,231029,1784,32.8,10,11.6,15.2,5.3,23.3,18.8,6,26.2,2.7,23,39592.57143,52
89,haryana,palwal,1042708,554497,488211,379696,220100,599796,684189,224043,133913,563,23.5,8.6,11.1,14,6.2,21.9,16.5,5.9,23.2,7,30.9,112327.5714,613
90,nct of delhi,north west,3656539,1960922,1695617,1541952,1165903,2707855,2138591,1013424,503055,1469,18.1,10.6,13.9,11.6,6,21.3,20.7,9.5,32.9,2.8,30.3,,
91,nct of delhi,north,887978,475002,412976,381615,299902,681517,506601,256501,124513,363,19.4,12.9,14.5,16.6,7.5,27.2,24.9,10.1,37,3.1,24.1,,24
92,nct of delhi,north east,2241624,1188425,1053199,912481,699107,1611588,1393078,581016,264663,2867,28.2,14.4,14.7,14.3,5.1,24.1,20.8,6.3,29.9,1.3,24.1,,
93,nct of delhi,east,1709346,907500,801846,748382,604616,1352998,948963,497157,262124,1102,30.7,11.7,12.9,16.6,6.2,25.8,22.2,9.4,33.8,1.5,25,,1203
94,nct of delhi,new delhi,142004,77942,64062,65678,48501,114179,76076,43913,21773,242,25.2,12,12.7,14.8,7,25.8,21.8,10.8,33.8,2.4,29,,
95,nct of delhi,central,582320,307821,274499,240518,201842,442360,317650,169533,94448,689,22.6,11.7,15.8,15.7,7,26.5,25.3,12.9,41.5,3.4,27.8,,
96,nct of delhi,west,2543243,1356240,1187003,1093933,867246,1961179,1399165,732515,408953,2610,21,12.9,14.4,13.3,6.7,23.8,23.3,9.1,34.1,2,28.5,,12
97,nct of delhi,south west,2292958,1246046,1046912,1025261,762428,1787689,1296955,683209,308675,4119,28.7,12.1,15.9,15.2,4.5,22.3,22.3,6.1,30.4,3.8,28.2,,
98,nct of delhi,south,2731929,1467428,1264501,1185036,893366,2078402,1588001,785085,355602,3241,24.5,9.9,10.3,15.8,5.3,23.7,19.5,6.6,27.8,1.6,20.8,,28
99,rajasthan,ganganagar,1969168,1043340,925828,710908,482435,1193343,1167889,502211,283484,15584,85.3,9.5,8.4,10.3,2.2,16.2,12.8,3,18.3,2.1,29,87471.28571,471
100,rajasthan,hanumangarh,1774692,931184,843508,624281,409855,1034136,1058044,453114,242361,21173,89,7.4,8.5,11.5,4,20,15.7,4.8,22.6,1.5,36.1,,426
101,rajasthan,bikaner,2363937,1240801,1123136,782399,496402,1278801,1543867,517271,288165,14634,87.4,7.3,8.5,6.2,2.2,12,8.4,1.4,11.8,3.4,38,58979.28571,349
102,rajasthan,churu,2039547,1051446,988101,696729,452540,1149269,1293193,458725,272176,15453,81.9,6.2,8.9,13.1,5.4,21.2,16.6,6.5,25.4,5,39.9,41205.14286,495
103,rajasthan,jhunjhunun,2137045,1095896,1041149,815834,554526,1370360,1298780,494124,330126,14015,86.1,6.7,8.2,12.5,5,20.7,18,5.6,25.6,5.9,39.9,56810.14286,386
104,rajasthan,alwar,3674179,1939026,1735153,1359829,822647,2182476,2346721,836000,490137,1321,80.8,5,7.2,13.1,5.3,20.3,15.7,8.7,25.8,9.7,42.5,112327.5714,613
105,rajasthan,bharatpur,2548462,1355726,1192736,943910,536959,1480869,1659515,546362,329127,13458,84.8,6.7,7.7,11.4,4.9,19.1,16.4,4.5,23.6,10.5,47.5,54704.42857,237
106,rajasthan,dhaulpur,1206516,653647,552869,435721,247377,683098,815651,248416,141365,1084,89,5.8,7.3,8.6,3.7,13.4,10.3,3.8,15.1,9.9,48,,213
107,rajasthan,karauli,1458248,783639,674609,531904,273945,805849,947173,310688,192042,8345,86.4,6,7.8,7.5,1.7,10.6,9.5,2.8,13.2,17.3,51.6,,303
108,rajasthan,sawai madhopur,1335551,704031,631520,486184,255564,741748,841697,309237,183234,1383,80.5,5.5,8.2,9.6,3.7,15.4,13.7,4.7,19.8,13.9,47.1,,125
109,rajasthan,dausa,1634409,857787,776622,596935,341116,938051,1047136,358718,210117,18438,91.2,7.4,8.5,7.8,3,12.2,11,4,16.1,15.8,47.5,,339
110,rajasthan,jaipur,6626178,3468507,3157671,2554793,1746172,4300965,4091148,1646480,884057,4493,81.5,7.9,8.5,9.1,3.1,14.7,11.7,3.3,16.5,6.3,33.1,337457.7143,665
111,rajasthan,sikar,2677333,1374990,1302343,995275,656842,1652117,1672813,605002,381226,18292,82.4,6.3,8.8,12.1,4.3,19.4,15.1,5.2,22,7,35.1,61858.42857,622
112,rajasthan,nagaur,3307743,1696325,1611418,1102750,655874,1758624,2088323,754143,463469,1808,90,6.9,7.9,10.6,2.9,15.6,12.7,3.3,17.5,5.9,44,71041.85714,732
113,rajasthan,jodhpur,3687165,1923928,1763237,1265753,765779,2031532,2359786,836322,489280,1777,87.5,6.3,7.5,8.7,2.6,13.1,12.8,2.6,16.5,6.9,43.6,109183.1429,397
114,rajasthan,jaisalmer,669919,361708,308211,210415,98238,308653,448969,140294,79977,679,93.7,4.9,8.8,6.7,1.7,9.7,12.7,2.1,15.8,5,44.9,26590.71429,154
115,rajasthan,barmer,2603751,1369022,1234729,783461,404861,1188322,1731122,527629,326476,18524,97.8,8.2,10.2,6.6,1.1,8.5,8.8,1.6,10.9,3.9,49.1,37133.71429,764
116,rajasthan,jalor,1828730,936634,892096,543923,285659,829582,1176496,390598,249379,12257,96.6,9.1,10.8,7.9,1.6,10.4,9,1.6,11.5,6.5,44.2,38528.28571,478
117,rajasthan,sirohi,1036346,534231,502115,309900,166906,476806,649290,244401,142251,404,92,5.1,8.6,10.8,2.1,14.2,14.2,3.4,18.7,8.7,39.9,36158.14286,185
118,rajasthan,pali,2037573,1025422,1012151,667381,418312,1085693,1207983,467436,343384,18770,96.2,9.5,13.8,8.5,1.9,13,12.2,2.7,16.5,4.6,40.1,68205.42857,374
119,rajasthan,ajmer,2583052,1324085,1258967,926268,600405,1526673,1561077,629951,388040,3984,88.7,7.5,7.9,6.8,3.3,14.5,7.8,2.5,13.1,4.1,38.6,91146,335
120,rajasthan,tonk,1421326,728136,693190,478329,271330,749659,880194,334006,205593,1533,84.5,5.8,6.5,9.9,4.8,16.7,14.1,4.7,20.1,8.6,47.6,44615.42857,326
121,rajasthan,bundi,1110906,577160,533746,371705,213339,585044,686771,267648,155958,529,87.7,5.9,8,10.5,4.6,17.2,13.4,4,19,13.8,52.8,29565.57143,223
122,rajasthan,bhilwara,2408523,1220736,1187787,777582,478544,1256126,1439454,589476,365023,14570,89.1,6.7,10.7,10.7,3.5,15.4,11.3,3.7,15.7,4.2,41.9,90178,511
123,rajasthan,rajsamand,1156597,581339,575258,383334,235805,619139,687165,275099,193668,665,93.2,6.8,7.9,8.6,2.6,15.1,11.4,2.1,15.4,4.8,44.6,,257
124,rajasthan,dungarpur,1388552,696532,692020,415820,265771,681591,868458,317700,191917,10477,97.5,10.1,15.1,9.9,1.9,12.9,11.7,2.4,14.9,3.6,40.8,24798.14286,388
125,rajasthan,banswara,1797485,907754,889731,513854,315489,829343,1153029,406214,216554,21688,84.2,8.9,10.8,12.7,3.1,17.1,15.2,3.6,19.4,5.8,38.7,30914.57143,437
126,rajasthan,chittaurgarh,1544338,783171,761167,514851,306974,821825,880043,398303,258997,6995,90.6,9.1,12.3,11.9,4.3,18.3,14.9,5.1,21.1,3.7,44.4,44969.85714,374
127,rajasthan,kota,1951014,1021161,929853,765396,532949,1298345,1177474,495896,275396,2248,80.9,5.8,7.8,10,2.8,15.9,14.1,3.8,20.2,9.2,43.2,88630,185
128,rajasthan,baran,1222755,633945,588810,432607,260700,693307,762204,286344,173100,1107,89.5,7.2,7.6,7.6,2.9,12.6,10.6,3.4,15.6,19.3,57,44464,309
129,rajasthan,jhalawar,1411129,725143,685986,466815,272977,739792,850546,346110,213674,799,93.6,7.7,8.8,9.4,3.8,15,12.7,3.6,17.3,9.8,55.4,32904.28571,352
130,rajasthan,udaipur,3068420,1566801,1501619,973444,609185,1582629,1876436,739287,451034,1663,94.3,8.8,10.5,10,3.2,14.4,13.1,2.4,16.5,4.5,42.5,105925.4286,644
131,rajasthan,pratapgarh,867848,437744,430104,250122,151393,401515,545987,204801,115608,1452,84.5,5.4,9.9,11.8,3.4,16.5,13.3,4.5,18.7,2.7,37.8,39179.57143,552
132,uttar pradesh,saharanpur,3466382,1834106,1632276,1220114,856994,2077108,2228689,769736,433862,34095,11.8,8.8,11.6,15.5,6.5,23,18.2,5.7,24.3,2.4,30.7,101824.5714,398
133,uttar pradesh,muzaffarnagar,4143512,2193434,1950078,1448528,968811,2417339,2671757,911621,544283,15851,8.2,11.5,14.3,14.9,5,21.6,16.6,6.8,24.2,3.7,31.7,119048,487
134,uttar pradesh,bijnor,3682713,1921215,1761498,1241471,893922,2135393,2404576,786305,450186,41646,18.8,11.3,13.3,13.2,4.5,19.7,16.8,5.9,24.3,3.6,36.5,93750.57143,409
135,uttar pradesh,moradabad,4772006,2503186,2268820,1357435,906413,2263848,3168270,988486,525574,89676,17.1,9.5,12.9,13.6,6.4,21.3,18.3,6.2,25.6,3.6,32.6,113322,384
136,uttar pradesh,rampur,2335819,1223889,1111930,630408,413258,1043666,1576123,491164,258913,9619,13.1,12.4,14.4,10.7,5.1,17.7,15.5,4.6,21,4.9,36.1,36122.14286,230
137,uttar pradesh,jyotiba phule nagar,1840221,963449,876772,600541,382569,983110,1227283,391275,215849,5814,8.3,6.3,11.1,13.4,4.2,19.1,18.5,5.2,24.6,4.4,38.9,,109
138,uttar pradesh,meerut,3443689,1825743,1617946,1254520,886968,2141488,2165117,780475,451827,46270,18.4,14.4,16,12.6,5.5,20,17.4,7.6,26.2,2.6,24.4,141808.4286,278
139,uttar pradesh,baghpat,1303048,700070,602978,489858,308112,797970,817140,283276,194548,8084,12.5,11.8,12.7,13.3,6,21.4,18,6,25.5,4.7,31.8,,208
140,uttar pradesh,ghaziabad,4681645,2488834,2192811,1811397,1311867,3123264,2891069,1139871,559963,90742,20,17.9,20.2,10.3,6.4,19.3,15.5,6.9,24.5,1.7,22.3,39592.57143,295
141,uttar pradesh,gautam buddha nagar,1648115,890214,757901,666065,456882,1122947,1015648,402967,188862,40638,23.8,14.8,17.2,9.8,4,16.4,14,5.3,20.9,3,29.7,,732
142,uttar pradesh,bulandshahr,3499171,1845260,1653911,1253314,778342,2031656,2246254,753949,472808,26160,20.5,12.8,14.9,13,6.4,21.2,18.8,6.5,26.2,4.1,34.4,,314
143,uttar pradesh,aligarh,3673889,1951996,1721893,1283380,809187,2092567,2378289,787408,472667,35525,17.6,13.1,14.9,11.8,4.3,18.2,16.3,4.1,22,5.1,37,79266.71429,311
144,uttar pradesh,mahamaya nagar,1564708,836127,728581,579157,363415,942572,1011157,339137,210083,4331,10.9,7.6,10.9,13.6,6.3,22.4,17.5,7.3,26.4,8,43.3,,191
145,uttar pradesh,mathura,2547184,1367125,1180059,943346,564400,1507746,1600686,535738,327854,82906,10.8,7.9,10.2,13,6.2,21.1,17.1,7.1,25.4,9.3,42.9,71263.71429,165
146,uttar pradesh,agra,4418797,2364953,2053844,1614594,1065916,2680510,2871903,991255,547873,7766,9.4,7.2,8.2,10.3,5.2,16.8,16.4,4.1,20.9,8.9,46.1,138028,416
147,uttar pradesh,firozabad,2498156,1332046,1166110,912314,609492,1521806,1621154,543730,312689,20583,13.4,7.5,9.4,11.9,5,18.1,15.2,4.7,20.5,5.2,45.6,39592.57143,191
